ID	Acronym	Name	Description	Data categories	Collection type	Contact information
1	SC AC 1	Sample collection 1	SC Desc 1	Biological samples	Case-control	67
2	SC AC 2	Sample collection 2	SC Desc 2	Survey data	Cohort	70
3	SC AC 3	Sample collection 3	SC Desc 3	Imaging data	Cross-sectional	41
4	SC AC 4	Sample collection 4	SC Desc 4	Medical records	Longitudinal	90
5	SC AC 5	Sample collection 5	SC Desc 5	National registries	Twin-study	83
6	SC AC 6	Sample collection 6	SC Desc 6	Genealogical records	Quality control	73
7	SC AC 7	Sample collection 7	SC Desc 7	Physiological/Biochemical measurements	Population-based	72
8	SC AC 8	Sample collection 8	SC Desc 8	Other	Disease specific	54
9	SC AC 9	Sample collection 9	SC Desc 9	Biological samples	Birth cohort	79
10	SC AC 10	Sample collection 10	SC Desc 10	Survey data	Other	23
11	SC AC 11	Sample collection 11	SC Desc 11	Imaging data	Case-control	83
12	SC AC 12	Sample collection 12	SC Desc 12	Medical records	Cohort	98
13	SC AC 13	Sample collection 13	SC Desc 13	National registries	Cross-sectional	85
14	SC AC 14	Sample collection 14	SC Desc 14	Genealogical records	Longitudinal	82
15	SC AC 15	Sample collection 15	SC Desc 15	Physiological/Biochemical measurements	Twin-study	44
16	SC AC 16	Sample collection 16	SC Desc 16	Other	Quality control	85
17	SC AC 17	Sample collection 17	SC Desc 17	Biological samples	Population-based	13
18	SC AC 18	Sample collection 18	SC Desc 18	Survey data	Disease specific	38
19	SC AC 19	Sample collection 19	SC Desc 19	Imaging data	Birth cohort	94
20	SC AC 20	Sample collection 20	SC Desc 20	Medical records	Other	64
21	SC AC 21	Sample collection 21	SC Desc 21	National registries	Case-control	14
22	SC AC 22	Sample collection 22	SC Desc 22	Genealogical records	Cohort	8
23	SC AC 23	Sample collection 23	SC Desc 23	Physiological/Biochemical measurements	Cross-sectional	95
24	SC AC 24	Sample collection 24	SC Desc 24	Other	Longitudinal	42
25	SC AC 25	Sample collection 25	SC Desc 25	Biological samples	Twin-study	68
26	SC AC 26	Sample collection 26	SC Desc 26	Survey data	Quality control	96
27	SC AC 27	Sample collection 27	SC Desc 27	Imaging data	Population-based	22
28	SC AC 28	Sample collection 28	SC Desc 28	Medical records	Disease specific	72
29	SC AC 29	Sample collection 29	SC Desc 29	National registries	Birth cohort	79
30	SC AC 30	Sample collection 30	SC Desc 30	Genealogical records	Other	58
31	SC AC 31	Sample collection 31	SC Desc 31	Physiological/Biochemical measurements	Case-control	15
32	SC AC 32	Sample collection 32	SC Desc 32	Other	Cohort	37
33	SC AC 33	Sample collection 33	SC Desc 33	Biological samples	Cross-sectional	90
34	SC AC 34	Sample collection 34	SC Desc 34	Survey data	Longitudinal	59
35	SC AC 35	Sample collection 35	SC Desc 35	Imaging data	Twin-study	74
36	SC AC 36	Sample collection 36	SC Desc 36	Medical records	Quality control	20
37	SC AC 37	Sample collection 37	SC Desc 37	National registries	Population-based	70
38	SC AC 38	Sample collection 38	SC Desc 38	Genealogical records	Disease specific	14
39	SC AC 39	Sample collection 39	SC Desc 39	Physiological/Biochemical measurements	Birth cohort	31
40	SC AC 40	Sample collection 40	SC Desc 40	Other	Other	35
41	SC AC 41	Sample collection 41	SC Desc 41	Biological samples	Case-control	66
42	SC AC 42	Sample collection 42	SC Desc 42	Survey data	Cohort	28
43	SC AC 43	Sample collection 43	SC Desc 43	Imaging data	Cross-sectional	40
44	SC AC 44	Sample collection 44	SC Desc 44	Medical records	Longitudinal	83
45	SC AC 45	Sample collection 45	SC Desc 45	National registries	Twin-study	73
46	SC AC 46	Sample collection 46	SC Desc 46	Genealogical records	Quality control	66
47	SC AC 47	Sample collection 47	SC Desc 47	Physiological/Biochemical measurements	Population-based	59
48	SC AC 48	Sample collection 48	SC Desc 48	Other	Disease specific	94
49	SC AC 49	Sample collection 49	SC Desc 49	Biological samples	Birth cohort	100
50	SC AC 50	Sample collection 50	SC Desc 50	Survey data	Other	95
